name,"who region","cases - cumulative total","cases - newly reported in last 7 days","cases - newly reported in last 24 hours","deaths - cumulative total","deaths - newly reported in last 7 days","deaths - newly reported in last 24 hours"
Belarus,Europe,994037,,,7118,,
China,"Western Pacific",99376823,1376,1376,122319,10,10
"French Guiana",,98041,,,413,,
Latvia,Europe,977765,,,7475,,
"Saint Vincent and the Grenadines",Americas,9674,,,124,,
Guinea-Bissau,Africa,9614,,,177,,
Niger,Africa,9518,,,315,,
Comoros,Africa,9109,,,160,,
"Antigua and Barbuda",Americas,9106,,,146,,
Senegal,Africa,89284,,,1972,,
Malawi,Africa,89168,,,2686,,
Kyrgyzstan,Europe,88953,,,1024,,
"C�te d'Ivoire",Africa,88437,,,835,,
"Netherlands (Kingdom of the)",Europe,8640796,260,260,22986,,
"Saudi Arabia","Eastern Mediterranean",841469,,,9646,,
"American Samoa","Western Pacific",8359,,,34,,
Azerbaijan,Europe,835884,46,46,10353,,
Suriname,Americas,82501,,,1406,,
"New Caledonia","Western Pacific",80163,,,314,,
Tokelau,"Western Pacific",80,,,0,,
"Sierra Leone",Africa,7980,,,125,,
"French Polynesia","Western Pacific",79419,15,15,650,,
Liberia,Africa,7930,,,294,,
Chad,Africa,7702,,,194,,
"Iran (Islamic Republic of)","Eastern Mediterranean",7627863,,,146837,,
Mexico,Americas,7620691,239,239,334621,1,1
"British Virgin Islands",Americas,7557,,,64,,
Eswatini,Africa,75356,,,1427,,
Guyana,Americas,74461,,,1302,,
"Cook Islands","Western Pacific",7375,30,30,2,,
Paraguay,Americas,735759,,,19880,,
Belize,Americas,71416,,,688,,
"International conveyance (Diamond Princess)",Other,712,,,13,,
"occupied Palestinian territory, including east Jerusalem","Eastern Mediterranean",703228,,,5708,,
Global,,776007135,58572,58572,7059612,997,997
Cyprus,Europe,698289,297,297,1476,3,3
Bahrain,"Eastern Mediterranean",696614,,,1536,,
Fiji,"Western Pacific",69047,,,885,,
Madagascar,Africa,68570,,,1428,,
Indonesia,"South-East Asia",6829515,24,24,162059,,
"Turks and Caicos Islands",Americas,6805,,,40,,
"Sao Tome and Principe",Africa,6771,,,80,,
"Sri Lanka","South-East Asia",672798,,,16907,,
Poland,Europe,6678236,4194,4194,120742,8,8
Kuwait,"Eastern Mediterranean",667290,,,2570,,
Jersey,,66391,,,161,,
"Dominican Republic",Americas,661103,,,4384,,
"Saint Kitts and Nevis",Americas,6607,,,46,,
"Cabo Verde",Africa,64474,,,417,,
Myanmar,"South-East Asia",642924,22,22,19494,,
"Republic of Moldova",Europe,641114,2213,2213,12251,3,3
Sudan,"Eastern Mediterranean",63993,,,5046,,
Colombia,Americas,6392971,499,499,142727,,
Mauritania,Africa,63874,,,997,,
Palau,"Western Pacific",6372,,,10,,
Bhutan,"South-East Asia",62697,,,21,,
Estonia,Europe,610471,,,2998,,
Austria,Europe,6082479,14,14,22534,,
"Syrian Arab Republic","Eastern Mediterranean",57423,,,3163,,
Greece,Europe,5683656,4429,4429,39333,35,35
Portugal,Europe,5665668,619,619,28870,30,30
Ukraine,Europe,5533807,439,439,109923,,
"Venezuela (Bolivarian Republic of)",Americas,552695,,,5856,,
"Saint Barth�lemy",,5507,,,5,,
Burundi,Africa,54569,,,15,,
Chile,Americas,5401372,141,141,62737,3,3
Nauru,"Western Pacific",5393,,,1,,
Malaysia,"Western Pacific",5309410,,,37351,,
Guam,"Western Pacific",52287,,,419,,
Seychelles,Africa,51886,,,172,,
Egypt,"Eastern Mediterranean",516023,,,24830,,
Qatar,"Eastern Mediterranean",514524,,,690,,
Kiribati,"Western Pacific",5085,,,24,,
Libya,"Eastern Mediterranean",507269,,,6437,,
Ethiopia,Africa,501220,,,7574,,
"International conveyance (Solomon Islands)",Other,5,,,0,,
R�union,,494595,,,921,,
Gabon,Africa,49051,,,307,,
Belgium,Europe,4874871,927,927,34339,,
Israel,Europe,4841558,,,12707,,
Canada,Americas,4819055,,,55282,,
Andorra,Europe,48015,,,159,,
Thailand,"South-East Asia",4800134,435,435,34720,1,1
Czechia,Europe,4763772,1032,1032,43513,2,2
Honduras,Americas,472902,2,2,11114,,
"Papua New Guinea","Western Pacific",46864,,,670,,
Cura�ao,Americas,45883,,,305,,
Peru,Americas,4526977,,,220975,,
Armenia,Europe,452273,,,8777,,
India,"South-East Asia",45042320,266,266,533629,3,3
Switzerland,Europe,4458830,492,492,14170,,
Aruba,Americas,44224,,,292,,
"United Republic of Tanzania",Africa,43237,,,846,,
Mayotte,,42027,,,187,,
Philippines,"Western Pacific",4140383,,,66864,,
"South Africa",Africa,4072777,,,102595,,
"Bosnia and Herzegovina",Europe,403666,,,16392,,
"International conveyance (American Samoa)",Other,4,,,0,,
Pitcairn,,4,,,0,,
Oman,"Eastern Mediterranean",399449,,,4628,,
Togo,Africa,39530,,,290,,
Luxembourg,Europe,393842,112,112,1000,,
Bahamas,Americas,39127,,,849,,
Anguilla,Americas,3904,,,12,,
France,Europe,38997490,,,168091,,
Guinea,Africa,38572,,,468,,
Germany,Europe,38437756,,,174979,,
"Isle of Man",,38008,,,116,,
"Wallis and Futuna","Western Pacific",3760,,,9,,
Brazil,Americas,37511921,,,702116,,
Lesotho,Africa,36138,,,709,,
Romania,Europe,3551392,4740,4740,68853,12,12
Guernsey,,35326,,,67,,
"North Macedonia",Europe,351364,271,271,9979,,
Zambia,Africa,349855,,,4077,,
"Brunei Darussalam","Western Pacific",348114,156,156,180,,
"Faroe Islands",,34658,,,28,,
"Republic of Korea","Western Pacific",34571873,,,35934,,
Haiti,Americas,34478,,,860,,
Kenya,Africa,344109,,,5689,,
Denmark,Europe,3435679,,,9693,,
"Saint Pierre and Miquelon",,3426,,,2,,
Japan,"Western Pacific",33803572,,,74694,,
